country,Country_code,unit,2020Q1,2019Q4,2019Q3,2019Q2,2019Q1,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01
Bulgaria,BGR,Thousand tonnes,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,Thousand tonnes,,3245,3491,2588,2638,,,,1081,1081,1081,1163,1163,1163,862,862,862,879,879,879
Bulgaria,BGR,Thousand tonnes,,0,,,11,,,,0,0,0,,,,,,,3,3,3
Bulgaria,BGR,Thousand tonnes,,2219,1898,1791,1828,,,,739,739,739,632,632,632,597,597,597,609,609,609
Bulgaria,BGR,Thousand tonnes,,2348,1962,1892,1873,,,,782,782,782,654,654,654,630,630,630,624,624,624
Bulgaria,BGR,Thousand tonnes,,2220,1898,1791,1828,,,,740,740,740,632,632,632,597,597,597,609,609,609
Bulgaria,BGR,Thousand tonnes,,2244,1903,1795,1845,,,,748,748,748,634,634,634,598,598,598,615,615,615
Bulgaria,BGR,Thousand tonnes,,2324,1941,1847,1914,,,,774,774,774,647,647,647,615,615,615,638,638,638
Bulgaria,BGR,Thousand tonnes,,1026,1593,797,799,,,,342,342,342,531,531,531,265,265,265,266,266,266
Bulgaria,BGR,Thousand tonnes,,897,1528,697,753,,,,299,299,299,509,509,509,232,232,232,251,251,251
Bulgaria,BGR,Thousand tonnes,,1025,1593,797,799,,,,341,341,341,531,531,531,265,265,265,266,266,266
Bulgaria,BGR,Thousand tonnes,,1001,1588,793,781,,,,333,333,333,529,529,529,264,264,264,260,260,260
Bulgaria,BGR,Thousand tonnes,,920,1550,741,713,,,,306,306,306,516,516,516,247,247,247,237,237,237
Bulgaria,BGR,Thousand tonnes,,,,,,,,,,,,,,,,,,,,
Bulgaria,BGR,Thousand tonnes,,2197,2449,1545,1624,,,,732,732,732,816,816,816,515,515,515,541,541,541
Bulgaria,BGR,Thousand tonnes,,,,,11,,,,,,,,,,,,,3,3,3
Bulgaria,BGR,Thousand tonnes,,1383,1044,914,938,,,,461,461,461,348,348,348,304,304,304,312,312,312
Bulgaria,BGR,Thousand tonnes,,1484,1086,978,971,,,,494,494,494,362,362,362,326,326,326,323,323,323
