Label,Country,Country_code,unit,tra_meas,airline,rep_airp_per_time,2020M04,2020M03,2020M02,2020M01,2019M12,2019M11,2019M10,2019M09,2019M08,2019M07,2019M06,2019M05,2019M04,2019M03,2019M02,2019M01
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Bulgaria,BGR,MOVE,ACM,UNK,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Bulgaria,BGR,MOVE,ACM,TOTAL,BG_LBBG,N/A,N/A,N/A,N/A,155,155,337,3050,5225,5229,3926,1106,275,168,161,167
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Bulgaria,BGR,MOVE,ACM,LIC_NEU,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Aircraft movements (passenger, freight and mail, commercial and non-commercial general aviation operations)",Bulgaria,BGR,MOVE,ACM,LIC_EU,BG_LBBG,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freight and mail loaded and unloaded,Croatia,HRV,T,FRM_LD_NLD,UNK,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freight and mail loaded and unloaded,Croatia,HRV,T,FRM_LD_NLD,TOTAL,HR_LDZA,N/A,649,668,747,823,846,1073,923,883,1042,967,1164,962,766,709,691
Freight and mail loaded and unloaded,Croatia,HRV,T,FRM_LD_NLD,LIC_NEU,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Freight and mail loaded and unloaded,Croatia,HRV,T,FRM_LD_NLD,LIC_EU,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Direct transit passengers,Croatia,HRV,PAS,PAS_TRS,UNK,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Direct transit passengers,Croatia,HRV,PAS,PAS_TRS,TOTAL,HR_LDZA,N/A,53,0,198,0,1113,638,796,728,317,456,389,39,1081,664,1025
Direct transit passengers,Croatia,HRV,PAS,PAS_TRS,LIC_NEU,HR_LDZA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
